x,y1,y2,y3
0.380915,1.11973,1.85097,0.963963
0.381703,1.11973,1.85097,0.963963
0.382492,1.11973,1.85097,0.963963
0.383281,1.12166,1.85846,0.963832
0.384069,1.12166,1.85846,0.963832
0.384858,1.12166,1.85846,0.963832
0.385647,1.12166,1.85846,0.963832
0.386435,1.1236,1.86596,0.963704
0.387224,1.1236,1.86596,0.963704
0.388013,1.1236,1.86596,0.963704
0.388801,1.1236,1.86596,0.963704
0.38959,1.12556,1.87347,0.963579
0.390379,1.12556,1.87347,0.963579
0.391167,1.12556,1.87347,0.963579
0.391956,1.12556,1.87347,0.963579
0.392744,1.12753,1.881,0.963458
0.393533,1.12753,1.881,0.963458
0.394322,1.12753,1.881,0.963458
0.39511,1.12753,1.881,0.963458
0.395899,1.12951,1.88853,0.96334
0.396688,1.12951,1.88853,0.96334
0.397476,1.12951,1.88853,0.96334
0.398265,1.12951,1.88853,0.96334
0.399054,1.13151,1.89608,0.963225
0.399842,1.13151,1.89608,0.963225
0.400631,1.13151,1.89608,0.963225
0.40142,1.13151,1.89608,0.963225
0.402208,1.13353,1.90365,0.963113
0.402997,1.13353,1.90365,0.963113
0.403785,1.13353,1.90365,0.963113
0.404574,1.13353,1.90365,0.963113
0.405363,1.13556,1.91122,0.963005
0.406151,1.13556,1.91122,0.963005
0.40694,1.13556,1.91122,0.963005
0.407729,1.13556,1.91122,0.963005
0.408517,1.1376,1.91881,0.9629
0.409306,1.1376,1.91881,0.9629
0.410095,1.1376,1.91881,0.9629
0.410883,1.1376,1.91881,0.9629
0.411672,1.13966,1.92641,0.962799
0.412461,1.13966,1.92641,0.962799
0.413249,1.13966,1.92641,0.962799
0.414038,1.13966,1.92641,0.962799
0.414826,1.14173,1.93402,0.962701
0.415615,1.14173,1.93402,0.962701
0.416404,1.14173,1.93402,0.962701
0.417192,1.14173,1.93402,0.962701
0.417981,1.14382,1.94165,0.962606
0.41877,1.14382,1.94165,0.962606
0.419558,1.14382,1.94165,0.962606
0.420347,1.14382,1.94165,0.962606
0.421136,1.14592,1.94928,0.962515
0.421924,1.14592,1.94928,0.962515
0.422713,1.14592,1.94928,0.962515
0.423502,1.14592,1.94928,0.962515
0.42429,1.14804,1.95693,0.962427
0.425079,1.14804,1.95693,0.962427
0.425868,1.14804,1.95693,0.962427
0.426656,1.14804,1.95693,0.962427
0.427445,1.15017,1.9646,0.962343
0.428233,1.15017,1.9646,0.962343
0.429022,1.15017,1.9646,0.962343
0.429811,1.15017,1.9646,0.962343
0.430599,1.15232,1.97228,0.962262
0.431388,1.15232,1.97228,0.962262
0.432177,1.15232,1.97228,0.962262
0.432965,1.15232,1.97228,0.962262
0.433754,1.15448,1.97997,0.962185
0.434543,1.15448,1.97997,0.962185
0.435331,1.15448,1.97997,0.962185
0.43612,1.15448,1.97997,0.962185
0.436909,1.15666,1.98767,0.962111
0.437697,1.15666,1.98767,0.962111
0.438486,1.15666,1.98767,0.962111
0.439274,1.15666,1.98767,0.962111
0.440063,1.15884,1.99539,0.962041
0.440852,1.15884,1.99539,0.962041
0.44164,1.15884,1.99539,0.962041
0.442429,1.15884,1.99539,0.962041
0.443218,1.16105,2.00312,0.961974
0.444006,1.16105,2.00312,0.961974
0.444795,1.16105,2.00312,0.961974
0.445584,1.16105,2.00312,0.961974
0.446372,1.16327,2.01086,0.961911
0.447161,1.16327,2.01086,0.961911
0.44795,1.16327,2.01086,0.961911
0.448738,1.16327,2.01086,0.961911
0.449527,1.1655,2.01862,0.961852
0.450315,1.1655,2.01862,0.961852
0.451104,1.1655,2.01862,0.961852
0.451893,1.1655,2.01862,0.961852
0.452681,1.16775,2.02639,0.961796
0.45347,1.16775,2.02639,0.961796
0.454259,1.16775,2.02639,0.961796
0.455047,1.16775,2.02639,0.961796
0.455836,1.17001,2.03418,0.961743
0.456625,1.17001,2.03418,0.961743
0.457413,1.17001,2.03418,0.961743
0.458202,1.17001,2.03418,0.961743
0.458991,1.17229,2.04198,0.961695
0.459779,1.17229,2.04198,0.961695
0.460568,1.17229,2.04198,0.961695
0.461356,1.17229,2.04198,0.961695
0.462145,1.17458,2.0498,0.96165
0.462934,1.17458,2.0498,0.96165
0.463722,1.17458,2.0498,0.96165
0.464511,1.17458,2.0498,0.96165
0.4653,1.17689,2.05763,0.961608
0.466088,1.17689,2.05763,0.961608
0.466877,1.17689,2.05763,0.961608
0.467666,1.17689,2.05763,0.961608
0.468454,1.17921,2.06547,0.961571
0.469243,1.17921,2.06547,0.961571
0.470032,1.17921,2.06547,0.961571
0.47082,1.17921,2.06547,0.961571
0.471609,1.18154,2.07333,0.961537
0.472397,1.18154,2.07333,0.961537
0.473186,1.18154,2.07333,0.961537
0.473975,1.18154,2.07333,0.961537
0.474763,1.1839,2.0812,0.961507
0.475552,1.1839,2.0812,0.961507
0.476341,1.1839,2.0812,0.961507
0.477129,1.1839,2.0812,0.961507
0.477918,1.18626,2.08909,0.96148
0.478707,1.18626,2.08909,0.96148
